
Train    1 |   301/1879 | loss:    0.2368 | fps:  284.8329 | acc:    0.9232   
Train    1 |   331/1879 | loss:    0.2489 | fps:  285.2547 | acc:    0.9188   
Train    1 |   361/1879 | loss:    0.2432 | fps:  285.3325 | acc:    0.9204   
Train    1 |   391/1879 | loss:    0.2419 | fps:  285.5017 | acc:    0.9210   
Train    1 |   421/1879 | loss:    0.2365 | fps:  285.3830 | acc:    0.9228   
Train    1 |   451/1879 | loss:    0.2388 | fps:  283.0050 | acc:    0.9210   
Train    1 |   481/1879 | loss:    0.2329 | fps:  282.3189 | acc:    0.9226   
Train    1 |   511/1879 | loss:    0.2282 | fps:  282.3100 | acc:    0.9239   
Train    1 |   541/1879 | loss:    0.2216 | fps:  282.5876 | acc:    0.9263   
Train    1 |   571/1879 | loss:    0.2206 | fps:  282.8398 | acc:    0.9260   
Train    1 |   601/1879 | loss:    0.2193 | fps:  283.0686 | acc:    0.9264   
Train    1 |   631/1879 | loss:    0.2166 | fps:  283.2206 | acc:    0.9273   
Train    1 |   661/1879 | loss:    0.2149 | fps:  283.1762 | acc:    0.9278   
Train    1 |   691/1879 | loss:    0.2166 | fps:  283.1964 | acc:    0.9271   
Train    1 |   721/1879 | loss:    0.2140 | fps:  283.2231 | acc:    0.9286   
Train    1 |   751/1879 | loss:    0.2136 | fps:  281.6941 | acc:    0.9296   
Train    1 |   781/1879 | loss:    0.2123 | fps:  281.0885 | acc:    0.9294   
Train    1 |   811/1879 | loss:    0.2149 | fps:  280.4397 | acc:    0.9274   
Train    1 |   841/1879 | loss:    0.2132 | fps:  280.2531 | acc:    0.9276   
Train    1 |   871/1879 | loss:    0.2147 | fps:  280.1328 | acc:    0.9270   
Train    1 |   901/1879 | loss:    0.2178 | fps:  279.9283 | acc:    0.9263   
Train    1 |   931/1879 | loss:    0.2165 | fps:  279.8023 | acc:    0.9266   
Train    1 |   961/1879 | loss:    0.2196 | fps:  279.7509 | acc:    0.9248   
Train    1 |   991/1879 | loss:    0.2179 | fps:  279.7099 | acc:    0.9260   
Train    1 |  1021/1879 | loss:    0.2146 | fps:  278.8835 | acc:    0.9270   
Train    1 |  1051/1879 | loss:    0.2134 | fps:  277.9010 | acc:    0.9276   
Train    1 |  1081/1879 | loss:    0.2124 | fps:  276.8511 | acc:    0.9283   
Train    1 |  1111/1879 | loss:    0.2128 | fps:  276.1810 | acc:    0.9286   
Train    1 |  1141/1879 | loss:    0.2114 | fps:  275.3158 | acc:    0.9293   
Train    1 |  1171/1879 | loss:    0.2125 | fps:  274.5691 | acc:    0.9289   
Train    1 |  1201/1879 | loss:    0.2131 | fps:  274.1505 | acc:    0.9286   
Train    1 |  1231/1879 | loss:    0.2124 | fps:  273.8713 | acc:    0.9290   
Train    1 |  1261/1879 | loss:    0.2128 | fps:  273.4995 | acc:    0.9286   
Train    1 |  1291/1879 | loss:    0.2118 | fps:  272.6464 | acc:    0.9287   
Train    1 |  1321/1879 | loss:    0.2107 | fps:  271.7626 | acc:    0.9292   
Train    1 |  1351/1879 | loss:    0.2088 | fps:  271.0073 | acc:    0.9296   
Train    1 |  1381/1879 | loss:    0.2083 | fps:  270.1177 | acc:    0.9296   
Train    1 |  1411/1879 | loss:    0.2079 | fps:  268.9450 | acc:    0.9293   
Train    1 |  1441/1879 | loss:    0.2064 | fps:  267.7920 | acc:    0.9296   
Train    1 |  1471/1879 | loss:    0.2050 | fps:  267.1469 | acc:    0.9302   
Train    1 |  1501/1879 | loss:    0.2031 | fps:  266.4900 | acc:    0.9309   
Train    1 |  1531/1879 | loss:    0.2024 | fps:  265.9134 | acc:    0.9310   
Train    1 |  1561/1879 | loss:    0.2019 | fps:  265.3337 | acc:    0.9311   
Train    1 |  1591/1879 | loss:    0.1999 | fps:  264.7835 | acc:    0.9319   
Train    1 |  1621/1879 | loss:    0.1996 | fps:  264.2361 | acc:    0.9321   
Train    1 |  1651/1879 | loss:    0.1973 | fps:  263.7646 | acc:    0.9328   
Train    1 |  1681/1879 | loss:    0.1955 | fps:  262.9973 | acc:    0.9334   
Train    1 |  1711/1879 | loss:    0.1963 | fps:  262.2363 | acc:    0.9334   
Train    1 |  1741/1879 | loss:    0.1954 | fps:  261.7846 | acc:    0.9339   
Train    1 |  1771/1879 | loss:    0.1941 | fps:  261.3495 | acc:    0.9343   
Train    1 |  1801/1879 | loss:    0.1942 | fps:  260.9362 | acc:    0.9340   
Train    1 |  1831/1879 | loss:    0.1935 | fps:  260.5877 | acc:    0.9342   
Train    1 |  1861/1879 | loss:    0.1925 | fps:  260.2105 | acc:    0.9346   
Val    1 |     1/101  | loss:    0.2701 | fps:  334.2175 | acc:    0.8750   
Val    1 |    31/101  | loss:    0.2352 | fps:  707.6771 | acc:    0.8952   
Val    1 |    61/101  | loss:    0.2301 | fps:  729.7646 | acc:    0.8996   
Val    1 |    91/101  | loss:    0.2351 | fps:  744.3051 | acc:    0.8984   
Train    2 |     1/1879 | loss:    0.0594 | fps:  381.9992 | acc:    1.0000   
Train    2 |    31/1879 | loss:    0.1817 | fps:  243.4015 | acc:    0.9516   
Train    2 |    61/1879 | loss:    0.1739 | fps:  240.7341 | acc:    0.9549   
Train    2 |    91/1879 | loss:    0.1960 | fps:  239.1033 | acc:    0.9492   
Train    2 |   121/1879 | loss:    0.1892 | fps:  238.3769 | acc:    0.9483   
Train    2 |   151/1879 | loss:    0.1819 | fps:  237.7693 | acc:    0.9478   
Train    2 |   181/1879 | loss:    0.1664 | fps:  237.7558 | acc:    0.9530   
Train    2 |   211/1879 | loss:    0.1574 | fps:  237.5176 | acc:    0.9532   
Train    2 |   241/1879 | loss:    0.1525 | fps:  237.1984 | acc:    0.9544   
Train    2 |   271/1879 | loss:    0.1628 | fps:  237.2760 | acc:    0.9502   
Train    2 |   301/1879 | loss:    0.1633 | fps:  237.5169 | acc:    0.9489   
Train    2 |   331/1879 | loss:    0.1605 | fps:  237.3245 | acc:    0.9475   
Train    2 |   361/1879 | loss:    0.1565 | fps:  237.1822 | acc:    0.9488   
Train    2 |   391/1879 | loss:    0.1520 | fps:  236.5605 | acc:    0.9501   
Train    2 |   421/1879 | loss:    0.1551 | fps:  236.6141 | acc:    0.9486   
Train    2 |   451/1879 | loss:    0.1523 | fps:  236.6557 | acc:    0.9498   
Train    2 |   481/1879 | loss:    0.1487 | fps:  236.6609 | acc:    0.9509   
Train    2 |   511/1879 | loss:    0.1537 | fps:  236.6572 | acc:    0.9486   
Train    2 |   541/1879 | loss:    0.1490 | fps:  236.5627 | acc:    0.9503   
Train    2 |   571/1879 | loss:    0.1460 | fps:  236.5489 | acc:    0.9507   
Train    2 |   601/1879 | loss:    0.1481 | fps:  236.4601 | acc:    0.9497   
Train    2 |   631/1879 | loss:    0.1584 | fps:  236.4031 | acc:    0.9467   
Train    2 |   661/1879 | loss:    0.1599 | fps:  236.4240 | acc:    0.9459   
Train    2 |   691/1879 | loss:    0.1598 | fps:  236.3511 | acc:    0.9461   
Train    2 |   721/1879 | loss:    0.1585 | fps:  236.2926 | acc:    0.9461   
Train    2 |   751/1879 | loss:    0.1585 | fps:  236.2666 | acc:    0.9464   
Train    2 |   781/1879 | loss:    0.1572 | fps:  230.8721 | acc:    0.9470   
Train    2 |   811/1879 | loss:    0.1594 | fps:  224.3585 | acc:    0.9464   
Train    2 |   841/1879 | loss:    0.1615 | fps:  224.8284 | acc:    0.9457   
Train    2 |   871/1879 | loss:    0.1635 | fps:  225.2617 | acc:    0.9449   
Train    2 |   901/1879 | loss:    0.1624 | fps:  225.6456 | acc:    0.9448   
Train    2 |   931/1879 | loss:    0.1632 | fps:  226.0402 | acc:    0.9441   
Train    2 |   961/1879 | loss:    0.1644 | fps:  226.4811 | acc:    0.9443   
Train    2 |   991/1879 | loss:    0.1622 | fps:  226.8496 | acc:    0.9453   
Train    2 |  1021/1879 | loss:    0.1626 | fps:  227.1413 | acc:    0.9452   
Train    2 |  1051/1879 | loss:    0.1615 | fps:  227.4576 | acc:    0.9456   
Train    2 |  1081/1879 | loss:    0.1612 | fps:  227.7007 | acc:    0.9458   
Train    2 |  1111/1879 | loss:    0.1679 | fps:  227.9525 | acc:    0.9437   
Train    2 |  1141/1879 | loss:    0.1669 | fps:  228.1746 | acc:    0.9441   
Train    2 |  1171/1879 | loss:    0.1671 | fps:  228.4298 | acc:    0.9444   
Train    2 |  1201/1879 | loss:    0.1673 | fps:  228.6661 | acc:    0.9446   
Train    2 |  1231/1879 | loss:    0.1671 | fps:  228.9222 | acc:    0.9446   
Train    2 |  1261/1879 | loss:    0.1660 | fps:  229.1690 | acc:    0.9451   
Train    2 |  1291/1879 | loss:    0.1644 | fps:  229.3564 | acc:    0.9455   
Train    2 |  1321/1879 | loss:    0.1625 | fps:  225.0727 | acc:    0.9461   
Train    2 |  1351/1879 | loss:    0.1628 | fps:  222.7297 | acc:    0.9462   
Train    2 |  1381/1879 | loss:    0.1625 | fps:  223.3215 | acc:    0.9463   
Train    2 |  1411/1879 | loss:    0.1613 | fps:  223.8485 | acc:    0.9466   
Train    2 |  1441/1879 | loss:    0.1625 | fps:  224.3387 | acc:    0.9465   
Train    2 |  1471/1879 | loss:    0.1643 | fps:  224.8024 | acc:    0.9457   
Train    2 |  1501/1879 | loss:    0.1653 | fps:  225.2280 | acc:    0.9454   
Train    2 |  1531/1879 | loss:    0.1648 | fps:  225.6634 | acc:    0.9455   
Train    2 |  1561/1879 | loss:    0.1649 | fps:  226.0848 | acc:    0.9452   
Train    2 |  1591/1879 | loss:    0.1633 | fps:  226.5526 | acc:    0.9459   
Train    2 |  1621/1879 | loss:    0.1639 | fps:  226.9192 | acc:    0.9458   
Train    2 |  1651/1879 | loss:    0.1622 | fps:  227.2768 | acc:    0.9463   
Train    2 |  1681/1879 | loss:    0.1623 | fps:  227.6065 | acc:    0.9462   
Train    2 |  1711/1879 | loss:    0.1617 | fps:  227.9560 | acc:    0.9464   
Train    2 |  1741/1879 | loss:    0.1604 | fps:  226.4299 | acc:    0.9468   
Train    2 |  1771/1879 | loss:    0.1593 | fps:  223.2795 | acc:    0.9471   
Train    2 |  1801/1879 | loss:    0.1601 | fps:  222.8796 | acc:    0.9468   
Train    2 |  1831/1879 | loss:    0.1597 | fps:  223.1384 | acc:    0.9468   
Train    2 |  1861/1879 | loss:    0.1595 | fps:  223.3849 | acc:    0.9468   
Val    2 |     1/101  | loss:    0.2976 | fps:  381.9644 | acc:    0.8750   
Val    2 |    31/101  | loss:    0.5433 | fps:  735.5521 | acc:    0.7258   
Val    2 |    61/101  | loss:    0.4977 | fps:  750.9823 | acc:    0.7336   
Val    2 |    91/101  | loss:    0.4874 | fps:  749.4939 | acc:    0.7431   
Train    3 |     1/1879 | loss:    0.0342 | fps:  401.6523 | acc:    1.0000   
Train    3 |    31/1879 | loss:    0.2283 | fps:  245.0400 | acc:    0.9315   
Train    3 |    61/1879 | loss:    0.2155 | fps:  241.9566 | acc:    0.9283   
Train    3 |    91/1879 | loss:    0.2176 | fps:  237.0633 | acc:    0.9272   
Train    3 |   121/1879 | loss:    0.1932 | fps:  227.0023 | acc:    0.9370   
Train    3 |   151/1879 | loss:    0.1758 | fps:  228.2414 | acc:    0.9429   
Train    3 |   181/1879 | loss:    0.1732 | fps:  229.9475 | acc:    0.9427   
Train    3 |   211/1879 | loss:    0.1718 | fps:  230.4245 | acc:    0.9408   
Train    3 |   241/1879 | loss:    0.1606 | fps:  230.1073 | acc:    0.9461   
Train    0 |     1/1879 | loss:    0.6887 | fps:    7.2443 | acc:    0.6250   
Train    0 |    31/1879 | loss:    0.6939 | fps:  954.4589 | acc:    0.5161   
Train    0 |    61/1879 | loss:    0.6938 | fps:  975.3844 | acc:    0.5020   
